filmId,title
469971.0,Hustlers
887650.0,Theater Camp
157841.0,Sausage Party
51904.0,The 400 Blows
228594.0,Blonde
629376.0,Hustle
268192.0,Hell or High Water
52504.0,Silence
50682.0,Twin Peaks: Fire Walk with Me
51817.0,Some Like It Hot
51682.0,Snow White and the Seven Dwarfs
50349.0,Space Jam
51888.0,Ocean's Twelve
123066.0,Pirates of the Caribbean: Dead Men Tell No Tales
35988.0,Yi Yi
151309.0,Chef
174928.0,Creep
51553.0,The Ring
696630.0,Belfast
51125.0,The Host
26196.0,Grown Ups
498044.0,Black Mirror: Bandersnatch
41663.0,Fantastic Planet
50947.0,What's Eating Gilbert Grape
44965.0,The SpongeBob SquarePants Movie
47798.0,They Live
306491.0,Paterson
21050.0,127 Hours
45628.0,Audition
739691.0,Dream Scenario
235480.0,Me and Earl and the Dying Girl
666269.0,White Noise
462573.0,Waves
161002.0,The Interview
589317.0,Amsterdam
362365.0,Vice
51570.0,Rashomon
46117.0,Shark Tale
155900.0,Coherence
453069.0,Maestro
46459.0,Shrek Forever After
895130.0,Skinamarink
51942.0,Three Colours: Blue
50904.0,Speed
51739.0,Insomnia
483951.0,"Are You There God? It's Me, Margaret."
415208.0,A Simple Favor
420467.0,Searching
51707.0,Raising Arizona
44189.0,Bolt
41662.0,The Wicker Man
51190.0,Irreversible
341440.0,Wonder
51064.0,Mirror
51157.0,Point Break
50954.0,Rope
503890.0,Saint Maud
50936.0,Cape Fear
48930.0,Bicycle Thieves
350384.0,The Big Sick
45108.0,Ran
150541.0,Minions
49259.0,Panic Room
240068.0,Kubo and the Two Strings
51350.0,Lolita
378473.0,Bad Times at the El Royale
25156.0,Contagion
193748.0,"Hail, Caesar!"
40988.0,The Room
507592.0,The King of Staten Island
51611.0,Cléo from 5 to 7
333445.0,Logan Lucky
79893.0,The Bling Ring
513206.0,After Yang
47133.0,Buffalo '66
203083.0,The Jungle Book
399500.0,In the Heights
51377.0,A Trip to the Moon
51940.0,Three Colours: Red
348456.0,Columbus
264336.0,Sing
114563.0,Only Lovers Left Alive
51802.0,King Kong
43713.0,High School Musical 2
48234.0,Lars and the Real Girl
51320.0,M
40892.0,Antichrist
51740.0,True Romance
441870.0,Honey Boy
46706.0,Robots
87964.0,Captain Phillips
485265.0,Three Thousand Years of Longing
50826.0,West Side Story
43680.0,Bottle Rocket
50561.0,National Treasure
645487.0,Malcolm & Marie
433652.0,Army of the Dead
5355.0,Super 8
43860.0,Star Trek
449771.0,Happiest Season
50991.0,Office Space
46087.0,Child's Play
48638.0,National Lampoon's Christmas Vacation
46869.0,Fantastic Four
46658.0,Chicken Little
60027.0,The Lorax
730798.0,Cha Cha Real Smooth
37648.0,The Blind Side
37180.0,Paranormal Activity
46462.0,Pineapple Express
47705.0,Dumb and Dumber
51396.0,Fantasia
397578.0,If Beale Street Could Talk
332009.0,Thoroughbreds
47426.0,Treasure Planet
184062.0,Cars 3
45797.0,Pinocchio
378725.0,The Post
832444.0,The House
47109.0,You've Got Mail
337565.0,The Death of Stalin
201340.0,Straight Outta Compton
237378.0,The Founder
49816.0,Bambi
451512.0,The Last Black Man in San Francisco
744826.0,Enola Holmes 2
46145.0,Madagascar: Escape 2 Africa
248773.0,Steve Jobs
581946.0,Jackass Forever
51268.0,Crash
51951.0,All About My Mother
60297.0,Ice Age: The Meltdown
312203.0,High Life
234814.0,Tangerine
49844.0,Badlands
19122.0,Rio
49889.0,Modern Times
18447.0,Daisies
373018.0,Cold War
51850.0,Mean Streets
45907.0,Little Shop of Horrors
422096.0,At Eternity's Gate
51173.0,Double Indemnity
48865.0,"Salò, or the 120 Days of Sodom"
46779.0,Happy Feet
842221.0,A Man Called Otto
45109.0,Blow Out
51761.0,Ocean's Thirteen
270476.0,Popstar: Never Stop Never Stopping
319550.0,Set It Up
50368.0,Big
392290.0,Mortal Kombat
44466.0,A Serious Man
49983.0,Hairspray
47805.0,The Holy Mountain
48532.0,The Umbrellas of Cherbourg
51311.0,Dune
47061.0,Martyrs
45820.0,Atlantis: The Lost Empire
683620.0,Red Rocket
37004.0,Stop Making Sense
384557.0,Twin Peaks
21149.0,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
47888.0,Alien³
43921.0,Tokyo Godfathers
669744.0,Petite Maman
354541.0,Chip 'n Dale: Rescue Rangers
448445.0,Pain and Glory
31194.0,Eyes Without a Face
51623.0,Wild at Heart
45909.0,Network
41305.0,Black Christmas
647008.0,The Woman King
34394.0,The Other Guys
39579.0,The Red Shoes
217531.0,Anomalisa
47994.0,Over the Hedge
32347.0,Mother
420137.0,It's Such a Beautiful Day
49856.0,Midnight Cowboy
51115.0,Meet the Robinsons
49468.0,Women on the Verge of a Nervous Breakdown
50916.0,Liar Liar
373808.0,Wolfwalkers
50602.0,Persepolis
32345.0,Taste of Cherry
41276.0,17 Again
432427.0,Ma
85579.0,The Good Dinosaur
47250.0,Kids
46987.0,Happy Gilmore
51154.0,The Third Man
46590.0,Spy Kids
44542.0,High and Low
509699.0,Da 5 Bloods
50357.0,Clerks
50937.0,Meet the Parents
255661.0,The Secret Life of Pets
333283.0,The Beguiled
424054.0,Twin Peaks: The Return
32502.0,A Woman Under the Influence
50786.0,Elephant
683285.0,Ambulance
455121.0,Bombshell
32348.0,Close-Up
51640.0,Erin Brockovich
468564.0,Zola
51164.0,The French Connection
49931.0,Young Frankenstein
64427.0,Only God Forgives
314883.0,Space Jam: A New Legacy
45021.0,Lemony Snicket's A Series of Unfortunate Events
48298.0,Alvin and the Chipmunks
357826.0,Annette
48817.0,Le Samouraï
73371.0,Stoker
37483.0,Trick 'r Treat
44925.0,Yojimbo
45132.0,Flushed Away
51140.0,Babel
51372.0,The Passion of Joan of Arc
50575.0,Moonstruck
51251.0,City Lights
915230.0,BlackBerry
45224.0,Thief
450164.0,The Woman in the Window
45374.0,Dumbo
46512.0,Stuart Little
47188.0,Surf's Up
44919.0,High School Musical 3: Senior Year
50090.0,Pierrot le Fou
40411.0,Night at the Museum: Battle of the Smithsonian
51701.0,Inside Man
330739.0,The Meyerowitz Stories (New and Selected)
48823.0,The Fugitive
523065.0,Never Rarely Sometimes Always
603.0,The Muppets
47146.0,Election
47806.0,Holes
73359.0,Amour
946607.0,Rye Lane
31355.0,Paris Is Burning
327909.0,My Life as a Zucchini
47781.0,Ice Age: Dawn of the Dinosaurs
41519.0,Where the Wild Things Are
761046.0,Mad God
740162.0,The Wonder
50193.0,"Planes, Trains and Automobiles"
464735.0,The Dead Don't Die
45672.0,This Is Spinal Tap
51769.0,Barton Fink
46084.0,The Cat in the Hat
51584.0,Wallace & Gromit: The Curse of the Were-Rabbit
45366.0,Blood Simple
686855.0,Parallel Mothers
63618.0,ParaNorman
378601.0,Bacurau
336066.0,Widows
48018.0,Speed Racer
46572.0,Hot Rod
34829.0,Mishima: A Life in Four Chapters
50166.0,In the Mouth of Madness
42942.0,Beau Travail
387909.0,Tag
431877.0,A Beautiful Day in the Neighborhood
444617.0,Free Solo
205114.0,The Lego Movie 2: The Second Part
487135.0,First Cow
51719.0,Harold and Maude
569563.0,The Card Counter
46232.0,The Age of Innocence
50390.0,Eastern Promises
50631.0,Fantastic Four: Rise of the Silver Surfer
833761.0,Weird: The Al Yankovic Story
542465.0,Ma Rainey's Black Bottom
50851.0,Re-Animator
42315.0,Monsters vs Aliens
27284.0,The Naked Gun: From the Files of Police Squad!
465978.0,Cats
47289.0,Bound
514329.0,Swallow
50915.0,Vivre Sa Vie
44320.0,Autumn Sonata
44970.0,Tampopo
38397.0,Naked
41361.0,All That Jazz
50242.0,The Chronicles of Narnia: Prince Caspian
51163.0,Blow-Up
47552.0,Wayne's World
819863.0,Fire of Love
42428.0,The Cat Returns
29947.0,Diary of a Wimpy Kid
51629.0,Bonnie and Clyde
51941.0,Three Colours: White
50752.0,The Long Goodbye
335959.0,The Square
966990.0,Anyone But You
51314.0,American Graffiti
45882.0,Showgirls
251940.0,Despicable Me 3
51462.0,La Jetée
201793.0,Unfriended
50155.0,Ring
47403.0,Serpico
45631.0,Blazing Saddles
477313.0,Color Out of Space
292688.0,The Grinch
395374.0,Velvet Buzzsaw
218895.0,Love
45652.0,The Last Temptation of Christ
45971.0,The Squid and the Whale
50156.0,It
470369.0,Kajillionaire
51203.0,Spaceballs
42613.0,Only Yesterday
301552.0,Ferrari
223050.0,The Boss Baby
185970.0,Insurgent
695021.0,Euphoria: Trouble Don't Last Always
41477.0,Adventureland
49129.0,Charade
46424.0,PlayTime
1059456.0,The Swan
51413.0,The Piano
544511.0,Hubie Halloween
51470.0,On the Waterfront
51809.0,The Killing
695522.0,We're All Going to the World's Fair
40653.0,A Christmas Carol
51475.0,Belle de Jour
45283.0,Sky High
50258.0,The Young Girls of Rochefort
46887.0,Talladega Nights: The Ballad of Ricky Bobby
1059455.0,Poison
269341.0,Baywatch
444497.0,Bao
167502.0,Spy
40276.0,Bronson
51362.0,The Fog
460813.0,Eurovision Song Contest: The Story of Fire Saga
23602.0,Tetsuo: The Iron Man
514702.0,I Lost My Body
47582.0,Casper
48189.0,Zathura: A Space Adventure
46037.0,Remember the Titans
51434.0,Pink Flamingos
43810.0,Empire Records
